match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,Abhishek Sharma,MA Starc,TM Head,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,2,Abhishek Sharma,MA Starc,TM Head,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,3,Abhishek Sharma,MA Starc,TM Head,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,4,Abhishek Sharma,MA Starc,TM Head,2,0,2,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,5,Abhishek Sharma,MA Starc,TM Head,0,0,0,null,1,Abhishek Sharma,bowled,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,6,RA Tripathi,MA Starc,TM Head,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,1,RA Tripathi,VG Arora,TM Head,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,2,RA Tripathi,VG Arora,TM Head,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,3,RA Tripathi,VG Arora,TM Head,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,4,RA Tripathi,VG Arora,TM Head,0,2,2,legbyes,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,5,RA Tripathi,VG Arora,TM Head,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,6,TM Head,VG Arora,RA Tripathi,0,0,0,null,1,TM Head,caught,Rahmanullah Gurbaz
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,1,RA Tripathi,MA Starc,AK Markram,4,0,4,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,2,RA Tripathi,MA Starc,AK Markram,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,3,AK Markram,MA Starc,RA Tripathi,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,4,AK Markram,MA Starc,RA Tripathi,4,0,4,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,5,AK Markram,MA Starc,RA Tripathi,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,6,AK Markram,MA Starc,RA Tripathi,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,1,RA Tripathi,VG Arora,AK Markram,0,1,1,wides,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,2,RA Tripathi,VG Arora,AK Markram,0,1,1,wides,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,3,RA Tripathi,VG Arora,AK Markram,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,4,AK Markram,VG Arora,RA Tripathi,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,5,AK Markram,VG Arora,RA Tripathi,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,6,RA Tripathi,VG Arora,AK Markram,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,7,RA Tripathi,VG Arora,AK Markram,0,1,1,wides,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,8,RA Tripathi,VG Arora,AK Markram,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,9,AK Markram,VG Arora,RA Tripathi,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,1,RA Tripathi,MA Starc,AK Markram,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,2,RA Tripathi,MA Starc,AK Markram,0,0,0,null,1,RA Tripathi,caught,Ramandeep Singh
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,3,Nithish Kumar Reddy,MA Starc,AK Markram,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,4,AK Markram,MA Starc,Nithish Kumar Reddy,1,0,1,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,5,Nithish Kumar Reddy,MA Starc,AK Markram,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,6,Nithish Kumar Reddy,MA Starc,AK Markram,0,0,0,null,0,NA,NA,NA
1426312,1,Sunrisers Hyderabad,Kolkata Knight Riders,5,1,AK Markram,VG Arora,Nithish Kumar Reddy,0,1,1,wides,0,NA,NA,NA
