batter,batter,runs,balls,4s,6s,S/R,order,batting_order
Abhishek Sharma,Abhishek Sharma,2,5,0,0,40,0.1,1
RA Tripathi,RA Tripathi,9,12,1,0,75,0.6,2
TM Head,TM Head,0,1,0,0,0,1.6,3
AK Markram,AK Markram,20,23,3,0,86.96,2.3,4
Nithish Kumar Reddy,Nithish Kumar Reddy,13,10,1,1,130,4.3,5
H Klaasen,H Klaasen,16,17,1,0,94.12,7.3,6
Shahbaz Ahmed,Shahbaz Ahmed,8,7,0,1,114.29,10.3,7
Abdul Samad,Abdul Samad,4,4,0,0,100,11.6,8
PJ Cummins,PJ Cummins,24,17,2,1,141.18,12.6,9
JD Unadkat,JD Unadkat,4,11,0,0,36.36,14.2,10
B Kumar,B Kumar,0,1,0,0,0,17.6,11
